"Priority","Category","RelativePath","Extension","Lines","Bytes","SHA256","Role"
"A-必读","动态痕迹直接依赖","Assets\NOT_Lonely\Weatherade SRS\Shaders\CGIncludes\SRS_CoverageCommon.cginc",".cginc","316","10893","FCA602CAC93767691609F9122E155B7B970824BD42D9D7AF3DBD25102DE871D5","TraceMaskGen 直接 include 的 Built-in 风格通用覆盖函数，提供边界 mask 等计算。"
"A-必读","动态雪痕核心","Assets\NOT_Lonely\Weatherade SRS\Scripts\SRS_TraceMaskGenerator.cs",".cs","325","13725","6650164791049E6B7BF796F22DAACDF60AEE526C48B1D8FBD40CE952899E9052","每帧用相反方向的两台正交相机捕获雪面与交互物深度，生成有历史的痕迹高度/法线纹理。"
"A-必读","动态雪痕核心","Assets\NOT_Lonely\Weatherade SRS\Scripts\SRS_Tracer.cs",".cs","106","3785","F6683A2B1D6E8872879F670855F0554FA1FE5D311D3A6EB2AF9B0478EB8553E1","为 MeshRenderer/SkinnedMeshRenderer 创建只写深度的代理物体，并放入痕迹相机专用 Layer。"
"A-必读","动态雪痕核心","Assets\NOT_Lonely\Weatherade SRS\Shaders\Blit\TraceMaskGen.shader",".shader","267","9450","7879C7110E5CA06A1C3606AC84C1BD16880AEEB6129E3EB492C4FC9C9E5F8673","三个全屏 Pass：深度接触+历史、噪声/边缘高度、有限差分法线与 RGBA 打包。"
"A-必读","积雪覆盖基础设施","Assets\NOT_Lonely\Weatherade SRS\Scripts\CoverageBase.cs",".cs","774","31789","B10118C4AAAA8F52FDE809F21ED22DBF4497C417D4F1C777A9CA3A236495BB3B","覆盖系统基类：创建跟随目标的顶视正交深度相机、RenderTexture、指数深度矩和材质同步。"
"A-必读","积雪遮挡算法","Assets\NOT_Lonely\Weatherade SRS\Shaders\Blit\TexturePacking.shader",".shader","156","3924","AEE6478B1AB549F585A1367C19EF208B35592C57F300E1096ABD4A4B47429ABA","把原始深度转换为指数深度的一、二阶矩，并提供通道打包 Pass。"
"A-必读","积雪遮挡算法","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_CoverageCommon.hlsl",".hlsl","334","11285","F8559D5CBE0EA4148FADF53BD8120DB1C4DCD48D321EFA638ECE5CF708D3DF54","切比雪夫上界、深度矩遮挡、方向/体积边界、绘制遮罩、随机采样和法线混合。"
"A-必读","雪几何位移","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_Tessellation.hlsl",".hlsl","277","10571","252BCE3D675957C5FD61E12CC71DE7310FB7B2C68607E2BE5A8AF6D218731364","曲面细分控制、边因子、Hull/Domain 程序，并在细分后调用雪位移。"
"A-必读","雪控制器","Assets\NOT_Lonely\Weatherade SRS\Scripts\SnowCoverage.cs",".cs","432","22229","B69FD05AEBEAAD6167918BA0AC7B80EBE92F2BB231BD5141EA98FFC9E9D0D35D","雪的参数总控；把 Inspector 字段、材质 keyword 和纹理同步到所有 Weatherade 雪材质。"
"A-必读","雪着色与位移核心","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_SnowCoverage.hlsl",".hlsl","590","27678","9A871E69A568B69B62BE97AAAE0F2465DD9875EF4669C818A063463EA2120146","把遮挡、方向、雪纹理、绘制遮罩和动态痕迹合成为 PBR 表面与顶点位移。"
"A-必读","Mesh 雪 Shader 入口","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\MeshRender\SnowCoverage (Tessellation).shader",".shader","671","36518","B8D9B49146CAB746B5C37D2E305C82C9D39664E343457AC460CDC247ADE1DDE6","启用 Hull/Domain 的 Mesh 雪 Shader，用细分支撑清晰几何脚印。"
"A-必读","URP 深度接入","Assets\NOT_Lonely\Weatherade SRS\Scripts\SRS_RenderDepthWithReplacement.cs",".cs","160","6226","7231F083ED63E7AF3D37E2DDEB89F719A21839C2C6A5778ACA4D4F3C0A982576","URP Renderer Feature：用替换 Shader 绘制指定 Layer/Queue，Unity 6 分支同时支持 RenderGraph。"
"A-必读","URP 深度接入","Assets\NOT_Lonely\Weatherade SRS\Scripts\URP_RendererSetter.cs",".cs","50","1671","274442105BC6CECC3060B5D3DE75B3ECBEEE4992835172465B397C23CB5E5A10","把 SRS 专用 RendererData 追加到当前 URP Asset，并返回 Renderer Index。"
"B-支持","动态雪痕核心","Assets\NOT_Lonely\Weatherade SRS\Shaders\Extra\DepthOccluder.shader",".shader","1490","60023","CE7B2D161CA8C76BA8F74B9F7807B026FF6E10F9B3B9F20CDD73A4D397C40AC5","交互代理的低成本深度 Shader，可沿法线 vertexPush。"
"B-支持","共享工具","Assets\NOT_Lonely\Weatherade SRS\Scripts\Extra\NL_Utilities.cs",".cs","422","16438","3AC7AE4D0A32BD79A82012F63EC0D64270AE395E9C5BD7559A04B36BC7D7926E","封装对象搜索、RT 创建/更新、噪声纹理、曲线烘焙、渲染管线判断和编辑器辅助。"
"B-支持","共享运行时状态","Assets\NOT_Lonely\Weatherade SRS\Scripts\SRS_Manager.cs",".cs","19","706","7FD0CEAE8EE6918573D23299652CF05AD6B6B663BB318EBF94348B0DC42C3019","保存 DataTransfer、覆盖材质和灯光列表的静态入口。"
"B-支持","积雪遮挡算法","Assets\NOT_Lonely\Weatherade SRS\Shaders\Blit\NL_GaussianBlur.shader",".shader","352","8883","EE638A38D77844C53D6BF4D5D1EA85CA4235624AA8B9079AC400D1DFDFCCE245","针对 R、RG、RGBA 的可分离横向/纵向高斯模糊。"
"B-支持","雪纹理采样","Assets\NOT_Lonely\Weatherade SRS\Shaders\Includes\SRS_Triplanar.hlsl",".hlsl","288","9546","7898DD570062B41B776A8B57CDB7639FDEBBF7BA77D0183277E840920BFFAC33","世界空间三平面投影及软混合/法线转换。"
"B-支持","Mesh 雪 Shader 入口","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\MeshRender\SnowCoverage.shader",".shader","676","36735","257848C8399B7C88B05967BAF215EE3A78301B294C2D796F25F9ECD281E6A77A","非细分 Mesh 雪 Shader，汇总 Properties、keywords 和 URP 各 Pass。"
"B-支持","Terrain 雪 Shader","Assets\NOT_Lonely\Weatherade SRS\Shaders\SnowCoverage\TerrainBake\SnowCoverage (Terrain Add Pass-Bake).shader",".shader","95","4480","7316F19F5431C338A80616DA67A69B1400B8AF11B8823AA81E17BFBEA90E3CBC","Terrain 第一层/Add Pass、Tessellation 或远景烘焙入口。"
